Percentage served,Time in ms
0,219.992
1,262.873
2,273.343
3,280.103
4,283.662
5,288.084
6,289.126
7,292.732
8,295.541
9,296.422
10,297.973
11,299.372
12,300.783
13,302.535
14,303.974
15,304.879
16,305.766
17,306.597
18,307.466
19,307.792
20,309.253
21,310.097
22,311.016
23,311.535
24,312.325
25,313.023
26,313.760
27,314.522
28,314.845
29,315.368
30,316.020
31,317.113
32,317.573
33,317.935
34,318.365
35,318.989
36,319.540
37,320.304
38,321.091
39,321.502
40,322.262
41,322.846
42,323.088
43,323.601
44,323.883
45,324.260
46,324.590
47,325.353
48,325.985
49,327.331
50,327.862
51,328.408
52,328.971
53,329.754
54,330.128
55,330.338
56,330.906
57,331.121
58,331.904
59,332.444
60,332.984
61,333.400
62,333.733
63,334.093
64,334.739
65,335.167
66,335.615
67,336.567
68,337.849
69,339.047
70,339.603
71,340.619
72,341.464
73,342.024
74,343.404
75,344.230
76,345.404
77,346.103
78,346.514
79,347.700
80,349.325
81,350.027
82,352.509
83,354.538
84,355.931
85,356.425
86,357.478
87,360.745
88,361.860
89,364.250
90,369.160
91,372.539
92,374.205
93,379.378
94,381.151
95,386.989
96,394.829
97,408.356
98,425.273
99,471.232
